,AHU 2 Supply Air Pressure (Pa),AHU 2 fan VFD state [0 off 1 on],AHU 2 Outdoor Air Damper (%),AHU 2 Exhaust Air Damper (%),AHU 2 Heat Recovery Wheel (%),AHU 2 Heating Coil State (%),AHU 2 Cooling Coil State (%),AHU 2 Humidifier State (%),AHU 2 Return Air Temperature [degC],AHU 2 Return Air Humidity [%],AHU 2 Supply Air Temperature [degC],AHU 2 Supply Air Humidity [%],Outdoor temperature (degC),Outdoor humidity (degC),Mixed Air Temperature (degC),AHU 2 Supply Air Temperature Setpoint (degC),AHU 2 Supply Air Pressure Setpoint (Pa),Chilled water VFD pump state [0 off 1 on],Binary availability schedule of the AHU fans
2017-01-01 0:00,-1.4843,0,0,0,0,0,0,0,7.7858,36.47,20.888,15.378,-8.8539,82.964,16.957,13,450,0,0
2017-01-01 1:00,-1.5095,0,0,0,0,0,0,0,7.9934,36.165,20.907,15.462,-8.5917,86.097,17.007,13,450,0,0
2017-01-01 2:00,-1.53,0,0,0,0,0,0,0,8.1836,35.87,20.84,15.526,-7.9459,84.122,17.075,13,450,0,0
2017-01-01 3:00,-1.549,0,0,0,0,0,0,0,8.39,35.592,20.808,15.657,-6.9948,84.165,17.122,13,450,0,0
2017-01-01 4:00,-1.5824,0,0,0,0,0,0,0,8.5223,35.561,20.784,15.834,-6.4763,89.165,17.172,13,450,0,0
2017-01-01 5:00,-1.5597,0,0,0,0,0,0,0,8.4763,36.252,20.918,15.902,-5.2987,92.5,17.184,13,450,0,0
2017-01-01 6:00,-1.5485,0,0,0,0,0,0,0,8.3504,36.684,20.88,16.167,-5.9899,90.363,17.195,13,450,0,0
2017-01-01 7:00,-1.5164,0,0,0,0,0,0,0,8.1319,37.273,20.945,16.258,-7.0303,82.058,17.162,13,450,0,0
2017-01-01 8:00,-1.4512,0,0,0,0,0,0,0,7.8409,37.924,21.012,16.134,-8.0001,69.474,17.123,13,450,0,0
2017-01-01 9:00,-1.4459,0,0,0,0,0,0,0,7.6414,38.218,21.052,16.066,-8.1035,62.928,17.078,13,450,0,0
2017-01-01 10:00,-1.4396,0,0,0,0,0,0,0,7.6636,38.147,20.943,16.081,-7.4853,57.534,17.039,13,450,0,0
2017-01-01 11:00,-1.5025,0,0,0,0,0,0,0,8.0077,37.493,20.877,16.128,-6.4157,52.847,16.984,13,450,0,0
2017-01-01 12:00,-1.5528,0,0,0,0,0,0,0,8.4331,36.787,20.812,16.28,-5.5404,50.593,17.01,13,450,0,0
2017-01-01 13:00,-1.5588,0,0,0,0,0,0,0,8.6606,36.4,20.765,16.397,-4.4428,49.179,17.056,13,450,0,0
2017-01-01 14:00,-1.6073,0,0,0,0,0,0,0,8.9539,35.798,20.747,16.471,-3.5934,48.516,17.15,13,450,0,0
2017-01-01 15:00,-1.6562,0,0,0,0,0,0,0,9.3379,35.217,20.826,16.537,-3.4939,50.132,17.292,13,450,0,0
2017-01-01 16:00,-1.6754,0,0,0,0,0,0,0,9.4717,35.149,20.891,16.546,-3.4568,52.557,17.46,13,450,0,0
2017-01-01 17:00,-1.6545,0,0,0,0,0,0,0,9.4586,35.302,20.999,16.565,-3.8635,56.334,17.623,13,450,0,0
2017-01-01 18:00,-1.6811,0,0,0,0,0,0,0,9.3577,35.636,21.135,16.493,-4.0594,58.679,17.725,13,450,0,0
2017-01-01 19:00,-1.6564,0,0,0,0,0,0,0,9.3808,35.699,21.155,16.418,-4.3676,61.166,17.854,13,450,0,0
2017-01-01 20:00,-1.649,0,0,0,0,0,0,0,9.359,35.689,21.131,16.374,-5.2275,66.059,17.935,13,450,0,0
2017-01-01 21:00,-1.5784,0,0,0,0,0,0,0,9.1165,35.736,21.098,16.324,-5.7216,68.98,18.023,13,450,0,0
2017-01-01 22:00,-1.5429,0,0,0,0,0,0,0,8.9338,35.765,21.072,16.183,-6.3656,71.297,17.985,13,450,0,0
2017-01-01 23:00,-1.558,0,0,0,0,0,0,0,8.7108,35.944,21.122,15.969,-6.4616,74.084,17.883,13,450,0,0
2017-01-02 0:00,-1.5652,0,0,0,0,0,0,0,8.6457,35.835,21.156,15.705,-5.8847,83.84,17.806,13,450,0,0
2017-01-02 1:00,-1.5671,0,0,0,0,0,0,0,8.6239,35.487,21.02,15.645,-6.2316,92.497,17.795,13,450,0,0
2017-01-02 2:00,-1.5011,0,0,0,0,0,0,0,8.5951,35.139,20.884,15.584,-8.1789,87.56,17.789,13,450,0,0
2017-01-02 3:00,-1.4367,0,0,0,0,0,0,0,8.3901,35.184,20.857,15.46,-9.1271,83.918,17.654,13,450,0,0
2017-01-02 4:00,-1.4373,0,0,0,0,0,0,0,8.1745,35.556,20.984,15.313,-9.0934,81.637,17.466,13,450,0,0
2017-01-02 5:00,-1.4346,0,0,0,0,0,0,0,8.1282,35.605,20.983,15.214,-8.8332,76.059,17.415,13,450,0,0
2017-01-02 6:00,-1.4503,0,0,0,0,0,0,0,8.1839,35.467,20.976,15.164,-8.817,79.852,17.381,13.273,450,0,0
2017-01-02 7:00,-1.4102,0,0,0,0,0,0,0,8.1755,35.598,20.936,15.252,-9.2748,82.795,17.378,14.102,450,0,0
2017-01-02 8:00,-1.4048,0,0,0,0,0,0,0,8.1213,36.216,20.751,15.518,-9.1896,91.211,17.329,14.822,450,0,0
2017-01-02 9:00,-1.4574,0,0,0,0,0,0,0,8.239,36.094,20.694,15.666,-8.0828,85.266,17.266,15.543,450,0,0
2017-01-02 10:00,-1.4961,0,0,0,0,0,0,0,8.6936,35.572,20.532,15.973,-6.5094,71.421,17.296,15.974,450,0,0
2017-01-02 11:00,-1.5232,0,0,0,0,0,0,0,9.3951,35.026,20.288,16.474,-5.7377,69,17.404,15.923,450,0,0
2017-01-02 12:00,-1.6166,0,0,0,0,0,0,0,10.259,34.377,19.927,17.106,-3.6437,63.318,17.645,15.938,450,0,0
2017-01-02 13:00,-1.612,0,0,0,0,0,0,0,11.896,32.68,19.092,18.204,-2.7442,63.233,17.701,15.799,450,0,0
2017-01-02 14:00,-1.5688,0,0,0,0,0,0,0,14.702,28.979,15.816,21.955,-2.0694,63.327,17.811,15.015,450,0,0
2017-01-02 15:00,-1.5784,0,0,0,0,0,0,0,16.112,27.246,14.325,24.281,-1.8863,66.386,16.242,13.736,450,0,0
