,Chiller 1,Chiller 2,AHU 1,AHU 2,Plug 1,Plug 2,Plug 3,Plug 4,Plug 5,Plug 6,Lighting 1,Lighting 2,Lighting 3,Lighting 4,Lighting 5,Lighting 6
2017-01-01 0:00,0,0,0,0,2.08,1.14,0.91,2.15,0.43,1.89,1.52,0.23,1.65,0.82,4.48,0.4
2017-01-01 1:00,0,0,0,0,2.13,1.15,0.91,2.13,0.45,1.63,1.54,0.22,1.65,0.81,3.79,0.4
2017-01-01 2:00,0,0,0,0,2.25,1.15,0.94,2.15,0.45,1.97,1.55,0.3,1.64,0.81,4.45,0.4
2017-01-01 3:00,0,0,0,0,2.33,1.15,0.92,2.16,0.44,1.59,1.53,0.3,1.65,0.81,4.45,0.4
2017-01-01 4:00,0,0,0,0,2.2,1.15,1,2.2,0.44,1.93,1.54,0.22,1.64,0.81,3.82,0.4
2017-01-01 5:00,0,0,0,0,2.27,1.18,0.96,2.18,0.44,1.6,1.53,0.23,1.65,0.82,4.53,0.4
2017-01-01 6:00,0,0,0,0,2.09,1.15,0.91,2.15,0.49,1.94,1.53,0.76,1.65,0.81,4.47,0.4
2017-01-01 7:00,0,0,0,0,2.18,1.13,0.91,2.14,0.49,1.62,1.53,0.76,1.65,0.81,4.39,0.41
2017-01-01 8:00,0,0,0,0,2.07,1.15,0.91,2.14,0.49,1.92,1.53,0.75,1.65,0.82,4.44,0.4
2017-01-01 9:00,0,0,0,0,2.08,1.13,0.89,2.15,0.48,1.59,1.52,0.76,1.65,0.81,4.51,0.41
2017-01-01 10:00,0,0,0,0,1.99,1.13,0.9,2.15,0.48,2,1.52,0.76,2.3,0.81,4.46,0.41
2017-01-01 11:00,0,0,0,0,2.12,1.13,0.91,2.15,0.48,1.67,1.52,0.76,2.19,0.81,3.75,0.41
2017-01-01 12:00,0,0,0,0,2.15,1.13,0.95,2.14,0.47,1.61,1.52,0.76,2.18,0.81,4.39,0.4
2017-01-01 13:00,0,0,0,0,2.06,1.14,0.9,2.13,0.47,1.63,1.52,0.88,2.18,0.81,4.46,0.41
2017-01-01 14:00,0,0,0,0,2.18,1.14,0.92,2.14,0.48,1.63,1.52,0.76,2.76,0.81,4.4,0.4
2017-01-01 15:00,0,0,0,0,2.01,1.13,0.92,2.14,0.48,1.63,1.52,0.76,2.31,0.81,4.42,0.4
2017-01-01 16:00,0,0,0,0,2.12,1.16,0.94,2.24,0.49,1.64,1.52,0.76,2.34,1.82,4.56,0.41
2017-01-01 17:00,0,0,0,0,2.21,1.13,0.95,2.13,0.49,1.61,1.53,0.76,3.29,1.48,4.53,0.41
2017-01-01 18:00,0,0,0,0,2.3,1.15,0.91,2.15,0.48,1.58,1.53,0.76,2.75,1.49,4.63,0.41
2017-01-01 19:00,0,0,0,0,2.06,1.14,0.91,2.13,0.59,1.63,1.52,0.76,1.66,1.48,4.65,0.41
2017-01-01 20:00,0,0,0,0,2.19,1.16,0.96,2.15,0.66,1.6,1.54,0.76,1.65,1.49,4.91,0.41
2017-01-01 21:00,0,0,0,0,2.09,1.14,0.94,2.14,0.66,1.59,1.52,0.76,1.65,1.48,4.69,0.41
2017-01-01 22:00,0,0,0,0,2.64,1.16,0.95,2.14,0.66,1.6,1.53,0.76,1.65,1.48,4.52,0.41
2017-01-01 23:00,0,0,0,0,2.27,1.15,0.95,2.12,0.6,1.59,1.54,0.76,1.65,0.81,4.61,0.41
2017-01-02 0:00,0,0,0,0,2.25,1.15,0.94,2.14,0.48,1.59,1.52,0.23,1.65,0.81,4.49,0.41
2017-01-02 1:00,0,0,0,0,2.57,1.15,0.95,2.14,0.44,1.6,1.53,0.31,1.65,0.81,4.5,0.4
2017-01-02 2:00,0,0,0,0,2.14,1.14,0.94,2.15,0.43,1.59,1.53,0.31,1.65,0.81,3.86,0.41
2017-01-02 3:00,0,0,0,0,2.11,1.15,0.94,2.14,0.44,1.59,1.53,0.23,1.65,0.81,4.55,0.4
2017-01-02 4:00,0,0,0,0,2.17,1.15,1.03,2.19,0.44,1.59,1.53,0.23,1.65,0.81,4.48,0.41
2017-01-02 5:00,0,0,0,0,2.18,1.15,0.99,2.16,0.44,1.6,1.53,0.22,1.65,0.82,4.44,0.41
2017-01-02 6:00,0,0,0,0,2.3,1.15,0.91,2.12,0.49,1.61,1.53,0.77,1.65,0.81,4.46,0.41
2017-01-02 7:00,0,0,0,0,2.25,1.14,0.94,2.15,0.49,1.6,1.54,0.76,1.65,0.81,4.5,0.41
