index,AHU 1 Supply Air Pressure (Pa),AHU 1 fan VFD state [0 off 1 on],AHU 1 Outdoor Air Damper (%),AHU 1 Exhaust Air Damper (%),AHU 1 Heat Recovery Wheel (%),AHU 1 Heating Coil State (%),AHU 1 Cooling Coil State (%),AHU 1 Humidifier State (%),AHU 1 Return Air Temperature [degC],AHU 1 Return Air Humidity [%],AHU 1 Supply Air Temperature [degC],AHU 1 Supply Air Humidity [%],Outdoor temperature (degC),Outdoor humidity (degC),Mixed Air Temperature (degC),AHU 1 Supply Air Temperature Setpoint (degC),AHU 1 Supply Air Pressure Setpoint (Pa),Chilled water VFD pump state [0 off 1 on],Binary availability schedule of the AHU fans
2017-01-01 00:00:00,0.00019079,0.0,0.0,0.0,0.0,18.872,0.0,0.0,18.941,17.741,12.563,11.813,-8.8539,82.964,18.358,13.0,300.0,0.0,0.0
2017-01-01 01:00:00,0.0002252,0.0,0.0,0.0,0.0,18.818,0.0,0.0,18.924,17.844,12.635,11.814,-8.5917,86.097,18.358,13.0,300.0,0.0,0.0
2017-01-01 02:00:00,0.00026273,0.0,0.0,0.0,0.0,19.314,0.0,0.0,18.894,18.0,12.735,11.812,-7.9459,84.122,18.358,13.0,300.0,0.0,0.0
2017-01-01 03:00:00,0.0002616,0.0,0.0,0.0,0.0,18.554,0.0,0.0,18.9,18.007,12.871,11.803,-6.9948,84.165,18.358,13.0,300.0,0.0,0.0
2017-01-01 04:00:00,0.00037533,0.0,0.0,0.0,0.0,18.711,0.0,0.0,19.077,17.966,13.04,11.804,-6.4763,89.165,18.358,13.0,300.0,0.0,0.0
2017-01-01 05:00:00,0.00023167,0.0,0.0,0.0,0.0,19.105,0.0,0.0,18.647,18.321,13.101,11.808,-5.2987,92.5,18.358,13.0,300.0,0.0,0.0
2017-01-01 06:00:00,0.00030026,0.0,0.0,0.0,0.0,18.971,0.0,0.0,18.608,18.75,13.105,11.799,-5.9899,90.363,18.358,13.0,300.0,0.0,0.0
2017-01-01 07:00:00,0.00029913,0.0,0.0,0.0,0.0,18.733,0.0,0.0,18.779,18.878,13.067,11.807,-7.0303,82.058,18.358,13.0,300.0,0.0,0.0
2017-01-01 08:00:00,0.00044705,0.0,0.0,0.0,0.0,19.943,0.0,0.0,18.568,19.042,12.886,11.799,-8.0001,69.474,18.358,13.0,300.0,0.0,0.0
2017-01-01 09:00:00,0.00018766,0.0,0.0,0.0,0.0,19.096,0.0,0.0,18.623,18.793,12.736,11.814,-8.1035,62.928,18.358,13.0,300.0,0.0,0.0
2017-01-01 10:00:00,0.00033779,0.0,0.0,0.0,0.0,18.067,0.0,0.0,18.785,18.619,12.756,11.807,-7.4853,57.534,18.358,13.0,300.0,0.0,0.0
2017-01-01 11:00:00,0.00015013,0.0,0.0,0.0,0.0,19.503,0.0,0.0,18.781,18.633,12.839,11.812,-6.4157,52.847,18.358,13.0,300.0,0.0,0.0
2017-01-01 12:00:00,0.00022895,0.0,0.0,0.0,0.0,19.338,0.0,0.0,18.882,18.668,12.941,11.815,-5.5404,50.593,18.358,13.0,300.0,0.0,0.0
2017-01-01 13:00:00,0.00011147,0.0,0.0,0.0,0.0,17.871,0.0,0.0,18.909,18.635,13.141,11.804,-4.4428,49.179,18.358,13.0,300.0,0.0,0.0
2017-01-01 14:00:00,0.00026048,0.0,0.0,0.0,0.0,18.96,0.0,0.0,19.093,18.619,13.39,11.794,-3.5934,48.516,18.358,13.0,300.0,0.0,0.0
2017-01-01 15:00:00,3.7533e-05,0.0,0.0,0.0,0.0,19.014,0.0,0.0,19.231,18.588,13.582,11.798,-3.4939,50.132,18.358,13.0,300.0,0.0,0.0
2017-01-01 16:00:00,0.0002616,0.0,0.0,0.0,0.0,18.239,0.0,0.0,19.238,18.708,13.727,11.796,-3.4568,52.557,18.358,13.0,300.0,0.0,0.0
2017-01-01 17:00:00,0.00018654,0.0,0.0,0.0,0.0,18.069,0.0,0.0,19.23,18.849,13.784,11.795,-3.8635,56.334,18.358,13.0,300.0,0.0,0.0
2017-01-01 18:00:00,0.00011447,0.0,0.0,0.0,0.0,18.931,0.0,0.0,19.138,18.858,13.817,11.795,-4.0594,58.679,18.358,13.0,300.0,0.0,0.0
2017-01-01 19:00:00,0.00018766,0.0,0.0,0.0,0.0,19.257,0.0,0.0,19.081,19.009,13.821,11.792,-4.3676,61.166,18.358,13.0,300.0,0.0,0.0
2017-01-01 20:00:00,0.0002616,0.0,0.0,0.0,0.0,18.246,0.0,0.0,19.184,18.897,13.992,11.795,-5.2275,66.059,18.358,13.0,300.0,0.0,0.0
2017-01-01 21:00:00,0.00022294,0.0,0.0,0.0,0.0,17.775,0.0,0.0,19.337,18.982,14.124,11.793,-5.7216,68.98,18.358,13.0,300.0,0.0,0.0
2017-01-01 22:00:00,0.00033554,0.0,0.0,0.0,0.0,18.39,0.0,0.0,19.345,18.945,14.069,11.791,-6.3656,71.297,18.358,13.0,300.0,0.0,0.0
2017-01-01 23:00:00,0.00044927,0.0,0.0,0.0,0.0,18.981,0.0,0.0,19.35,18.831,14.026,11.799,-6.4616,74.084,18.358,13.0,300.0,0.0,0.0
2017-01-02 00:00:00,0.00030072,0.0,0.0,0.0,0.0,19.035,0.0,0.0,19.252,18.61,13.85,11.797,-5.8847,83.84,18.358,13.0,300.0,0.0,0.0
2017-01-02 01:00:00,0.00026273,0.0,0.0,0.0,0.0,19.062,0.0,0.0,19.312,18.76,13.887,11.798,-6.2316,92.497,18.358,13.0,300.0,0.0,0.0
2017-01-02 02:00:00,0.0002252,0.0,0.0,0.0,0.0,18.366,0.0,0.0,19.349,18.662,13.896,11.799,-8.1789,87.56,18.358,13.0,300.0,0.0,0.0
2017-01-02 03:00:00,0.00048455,0.0,0.0,0.0,0.0,18.358,0.0,0.0,19.369,18.549,13.771,11.807,-9.1271,83.918,18.358,13.0,300.0,0.0,0.0
2017-01-02 04:00:00,7.5065e-05,0.0,0.0,0.0,0.0,18.943,0.0,0.0,19.333,18.288,13.601,11.809,-9.0934,81.637,18.358,13.0,300.0,0.0,0.0
2017-01-02 05:00:00,0.000149,0.0,0.0,0.0,0.0,18.927,0.0,0.0,19.154,18.218,13.312,11.814,-8.8332,76.059,18.358,13.0,300.0,0.0,0.0
2017-01-02 06:00:00,0.00033445,0.0,0.0,0.0,0.0,18.552,0.0,0.0,19.095,18.179,13.271,11.813,-8.817,79.852,18.358,13.0,300.0,0.0,0.0
2017-01-02 07:00:00,0.00011447,0.0,0.0,0.0,0.0,18.194,0.0,0.0,19.01,18.51,13.167,11.808,-9.2748,82.795,18.358,13.0,300.0,0.0,0.0
2017-01-02 08:00:00,0.00029913,0.0,0.0,0.0,0.0,19.109,0.0,0.0,19.018,19.079,12.985,11.81,-9.1896,91.211,18.358,13.0,300.0,0.0,0.0
2017-01-02 09:00:00,0.00015013,0.0,0.0,0.0,0.0,19.477,0.0,0.0,19.015,19.094,12.981,11.808,-8.0828,85.266,18.358,13.0,300.0,0.0,0.0
2017-01-02 10:00:00,0.00041173,0.0,0.0,0.0,0.0,19.275,0.0,0.0,19.09,19.037,13.134,11.807,-6.5094,71.421,18.358,13.0,300.0,0.0,0.0
2017-01-02 11:00:00,0.00051873,0.0,0.0,0.0,0.0,19.156,0.0,0.0,19.102,19.273,13.217,11.808,-5.7377,69.0,18.358,13.0,300.0,0.0,0.0
2017-01-02 12:00:00,0.00018654,0.0,0.0,0.0,0.0,18.884,0.0,0.0,19.035,20.036,13.318,11.8,-3.6437,63.318,18.358,13.0,300.0,0.0,0.0
2017-01-02 13:00:00,0.00019402,0.0,0.0,0.0,0.0,18.859,0.0,0.0,18.961,20.089,13.482,11.796,-2.7442,63.233,18.358,13.0,300.0,0.0,0.0
