Timestamp,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS2M
2017-01-01 00:00:00,0.0,0.0,0.0,-0.42,100.0,1.12
2017-01-01 01:00:00,0.0,0.0,0.0,-0.16,99.81,1.35
2017-01-01 02:00:00,0.0,0.0,0.0,-0.02,99.0,1.39
2017-01-01 03:00:00,0.0,0.0,0.0,-0.27,98.56,1.38
2017-01-01 04:00:00,0.0,0.0,0.0,-0.66,97.62,1.46
2017-01-01 05:00:00,0.0,0.0,0.0,-1.29,98.0,1.44
2017-01-01 06:00:00,0.0,0.0,0.0,-2.09,99.0,1.29
2017-01-01 07:00:00,0.0,0.0,0.0,-2.95,98.88,1.33
2017-01-01 08:00:00,53.41,22.23,27.78,-3.54,96.19,1.39
2017-01-01 09:00:00,94.38,86.7,107.7,-3.87,91.12,1.44
2017-01-01 10:00:00,398.84,126.34,250.06,-3.73,86.0,1.4
2017-01-01 11:00:00,613.7,128.14,347.71,-2.99,81.19,1.31
2017-01-01 12:00:00,660.34,129.25,368.34,-2.07,77.38,1.18
2017-01-01 13:00:00,375.56,165.37,286.59,-1.36,75.69,1.02
2017-01-01 14:00:00,183.67,106.48,151.02,-1.09,77.94,0.68
2017-01-01 15:00:00,288.9,37.39,74.05,-2.41,86.38,0.4
2017-01-01 16:00:00,118.48,6.3,7.72,-4.77,90.25,0.68
2017-01-01 17:00:00,0.0,0.0,0.0,-5.92,94.44,0.66
2017-01-01 18:00:00,0.0,0.0,0.0,-5.72,96.31,0.73
2017-01-01 19:00:00,0.0,0.0,0.0,-5.81,98.56,0.72
2017-01-01 20:00:00,0.0,0.0,0.0,-6.4,100.0,0.68
2017-01-01 21:00:00,0.0,0.0,0.0,-6.85,100.0,0.72
2017-01-01 22:00:00,0.0,0.0,0.0,-6.89,100.0,0.75
2017-01-01 23:00:00,0.0,0.0,0.0,-7.02,100.0,0.71
2017-01-02 00:00:00,0.0,0.0,0.0,-7.37,100.0,0.61
2017-01-02 01:00:00,0.0,0.0,0.0,-7.78,100.0,0.55
2017-01-02 02:00:00,0.0,0.0,0.0,-8.23,100.0,0.69
2017-01-02 03:00:00,0.0,0.0,0.0,-8.75,100.0,0.72
2017-01-02 04:00:00,0.0,0.0,0.0,-8.38,100.0,0.73
2017-01-02 05:00:00,0.0,0.0,0.0,-7.2,99.12,0.63
2017-01-02 06:00:00,0.0,0.0,0.0,-6.59,94.5,0.65
2017-01-02 07:00:00,0.0,0.0,0.0,-5.99,90.19,0.74
2017-01-02 08:00:00,131.74,29.1,42.83,-5.13,89.94,0.65
2017-01-02 09:00:00,246.12,64.84,119.74,-2.62,84.56,0.62
2017-01-02 10:00:00,473.59,112.8,260.14,-0.88,81.25,0.74
2017-01-02 11:00:00,665.13,89.86,328.68,0.25,80.19,0.79
2017-01-02 12:00:00,846.7,70.61,378.55,1.08,78.81,0.82
2017-01-02 13:00:00,824.82,64.88,332.7,1.63,77.69,0.88
2017-01-02 14:00:00,705.33,57.53,230.15,1.43,80.56,0.9
2017-01-02 15:00:00,341.93,35.51,79.7,-0.1,88.06,0.87
2017-01-02 16:00:00,122.08,6.9,8.48,-2.95,97.88,0.93
2017-01-02 17:00:00,0.0,0.0,0.0,-3.91,99.19,1.07
2017-01-02 18:00:00,0.0,0.0,0.0,-4.54,99.75,1.03
2017-01-02 19:00:00,0.0,0.0,0.0,-5.33,100.0,0.85
2017-01-02 20:00:00,0.0,0.0,0.0,-6.08,100.0,0.69
2017-01-02 21:00:00,0.0,0.0,0.0,-6.29,100.0,0.68
2017-01-02 22:00:00,0.0,0.0,0.0,-6.26,99.69,0.55
2017-01-02 23:00:00,0.0,0.0,0.0,-6.02,98.81,0.58
2017-01-03 00:00:00,0.0,0.0,0.0,-4.81,95.62,0.62
2017-01-03 01:00:00,0.0,0.0,0.0,-4.08,95.81,0.57
2017-01-03 02:00:00,0.0,0.0,0.0,-3.49,96.19,0.56
2017-01-03 03:00:00,0.0,0.0,0.0,-2.88,97.25,0.51
2017-01-03 04:00:00,0.0,0.0,0.0,-2.36,96.0,0.76
2017-01-03 05:00:00,0.0,0.0,0.0,-1.79,94.69,0.91
2017-01-03 06:00:00,0.0,0.0,0.0,-1.34,95.62,0.92
2017-01-03 07:00:00,0.0,0.0,0.0,-1.06,96.19,1.0
2017-01-03 08:00:00,17.43,10.3,12.12,-0.86,97.0,0.88
2017-01-03 09:00:00,45.3,48.84,58.98,-0.56,96.44,0.79
2017-01-03 10:00:00,37.67,41.01,52.77,-0.32,95.88,0.79
2017-01-03 11:00:00,51.72,91.45,110.09,-0.17,95.5,0.85
2017-01-03 12:00:00,87.2,54.09,85.96,0.02,95.12,0.91
2017-01-03 13:00:00,38.46,45.78,58.34,0.06,95.69,0.99
2017-01-03 14:00:00,40.16,24.28,34.2,0.05,96.38,1.06
2017-01-03 15:00:00,7.73,30.22,31.23,0.08,96.81,1.1
2017-01-03 16:00:00,5.91,5.77,5.86,-0.02,97.56,1.15
2017-01-03 17:00:00,0.0,0.0,0.0,-0.03,97.69,1.16
2017-01-03 18:00:00,0.0,0.0,0.0,-0.06,97.75,1.13
